moneyAccountName,currencyId,currencyName,accountType,product,customerName,transactionId,transactionTypeId,transactionTypeShort,transactionTypeName,bookingTypeShort,bookingTypeName,valueDate,transactionDate,direction,amount,transactionCurrencyId,transactionCurrencyName,creditorShortText,creditorText,debtorShortText,debtorText,pointOfSale,acquirerCountryId,acquirerCountryName,cardId,creditorAccountText,creditorIBAN,creditorAddress,creditorReferenceNumber,creditorInfo
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1675554047,6,pay,Zahlungsverkehr,apf_domp,Zahlungsauftrag Inland,27/08/2025,27/08/2025,2,23.01,3942.0,CHF,,,Vergütung / SCHRAUBENKING GMBH ,AU2539919,,,,,,CH9608525000XXXXYYYYZ,"SCHRAUBENKING GMBH
KATZENBERG 58
4982 KIRCHDORF AM INN
Österreich",,AU2539919
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1675596509,6,pay,Zahlungsverkehr,apf_domp,Zahlungsauftrag Inland,27/08/2025,27/08/2025,2,339.45,3942.0,CHF,,,Vergütung / A+P REINIGUNGEN / ,,,,,,,CH7800784296XXXXYYYYZ,"A+P REINIGUNGEN
STAMMERWEG 7
8255 SCHLATTINGEN
Schweiz",RF25000000000000000001271,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1675055652,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,26/08/2025,26/08/2025,2,13.55,3942.0,CHF,TWINT-Zahlung ,"COOP PRONTO 4934 MAIENFELD, MAIENFELD
+41791234567
26.08.2025 08:36
",TWINT-Zahlung ,"COOP PRONTO 4934 MAIENFELD, MAIENFELD
+41791234567
26.08.2025 08:36
","COOP PRONTO 4934 MAIENFELD, MAIENFELD",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1675079714,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,26/08/2025,26/08/2025,2,122.0,3942.0,CHF,TWINT-Zahlung ,"LENZERHEIDE BERGBAHNEN AG, CHURWALDEN
+41791234567
26.08.2025 09:43
",TWINT-Zahlung ,"LENZERHEIDE BERGBAHNEN AG, CHURWALDEN
+41791234567
26.08.2025 09:43
","LENZERHEIDE BERGBAHNEN AG, CHURWALDEN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1675072888,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,26/08/2025,26/08/2025,2,8.0,3942.0,CHF,TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
26.08.2025 09:22
",TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
26.08.2025 09:22
","PARKINGPAY-TWINT, SCHLIEREN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1674640586,6,pay,Zahlungsverkehr,apf_frnp,Zahlungsauftrag Ausland,25/08/2025,25/08/2025,2,108.0,2549.0,EUR,,,Vergütung / U + W GMBH / ANGEBOT 00000,,,,,,,DE72505700240XXXXYYYYZ,"U + W GMBH
JAKOB-WOLF-STR. 26
63179 OBERTSHAUSEN
",,"ANGEBOT 31217
"
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673969353,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,24/08/2025,24/08/2025,2,11.93,3942.0,CHF,Kartenbezug ,"Agrola Tankstelle
Kartennummer **** 1010
24.08.2025 10:24
",Kartenbezug ,"Agrola Tankstelle
Kartennummer **** 1010
24.08.2025 10:24
","AGROLA TANKSTELLE, DIESSENHOFEN",2089.0,Schweiz,2699XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673277816,30,inpay,Zahlungseingang,inpay#inpay,Vergütung,22/08/2025,22/08/2025,1,7900.0,3942.0,CHF,"SALAERZAHLUNG  / Arbeitgeber AG, Zentralsitz, CH-8000 Zürich",SALAERZAHLUNG ,,,,,,,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673365446,44,cardtrx,Kartentransaktion,twint#p2m#debit,TWINT-Zahlung,22/08/2025,22/08/2025,2,5.0,3942.0,CHF,TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
22.08.2025 07:31
",TWINT-Zahlung ,"PARKINGPAY-TWINT, SCHLIEREN
+41791234567
22.08.2025 07:31
","PARKINGPAY-TWINT, SCHLIEREN",2089.0,Schweiz,2533XXXX,,,,,
"CH59 0078 1608 XXXX YYYY Z/CHF/Meier, Max/St. Gallen/Privatkonto",3942,CHF,Current Account,Privatkonto,"Meier, Max",1673362463,44,cardtrx,Kartentransaktion,widrw_of#maestro,Kartenbezug,22/08/2025,22/08/2025,2,43.5,3942.0,CHF,Kartenbezug ,"Ammann Bäckerei Kond
Kartennummer **** 1010
22.08.2025 07:11
",Kartenbezug ,"Ammann Bäckerei Kond
Kartennummer **** 1010
22.08.2025 07:11
","AMMANN BACKEREI KONDITO, UNTERSTAMMHEIM",2089.0,Schweiz,2699XXXX,,,,,
